BioMAP Viewer Mixed Profile,Mechanism,BrEPI_IL-1b/TNF-a/IFN-g_24:CD87/uPAR,BrEPI_IL-1b/TNF-a/IFN-g_24:CXCL10/IP-10,BrEPI_IL-1b/TNF-a/IFN-g_24:CXCL9/MIG,BrEPI_IL-1b/TNF-a/IFN-g_24:HLA-DR,BrEPI_IL-1b/TNF-a/IFN-g_24:IL-1alpha,BrEPI_IL-1b/TNF-a/IFN-g_24:MMP-1,BrEPI_IL-1b/TNF-a/IFN-g_24:PAI-I,BrEPI_IL-1b/TNF-a/IFN-g_24:SRB,BrEPI_IL-1b/TNF-a/IFN-g_24:tPA,BrEPI_IL-1b/TNF-a/IFN-g_24:uPA,HDFn_IL-1b/TNF-a/IFN-g/EGF/FGF/PDGFbb_24:CD106/VCAM-1,HDFn_IL-1b/TNF-a/IFN-g/EGF/FGF/PDGFbb_24:Collagen III,HDFn_IL-1b/TNF-a/IFN-g/EGF/FGF/PDGFbb_24:CXCL10/IP-10,HDFn_IL-1b/TNF-a/IFN-g/EGF/FGF/PDGFbb_24:CXCL8/IL-8,HDFn_IL-1b/TNF-a/IFN-g/EGF/FGF/PDGFbb_24:CXCL9/MIG,HDFn_IL-1b/TNF-a/IFN-g/EGF/FGF/PDGFbb_24:EGFR,HDFn_IL-1b/TNF-a/IFN-g/EGF/FGF/PDGFbb_24:M-CSF,HDFn_IL-1b/TNF-a/IFN-g/EGF/FGF/PDGFbb_24:MMP-1,HDFn_IL-1b/TNF-a/IFN-g/EGF/FGF/PDGFbb_24:PAI-I,HDFn_IL-1b/TNF-a/IFN-g/EGF/FGF/PDGFbb_24:Proliferation_72hr,HDFn_IL-1b/TNF-a/IFN-g/EGF/FGF/PDGFbb_24:SRB,HDFn_IL-1b/TNF-a/IFN-g/EGF/FGF/PDGFbb_24:TIMP-2,HEK/HDFn_IL-1b/TNF-a/IFN-g/TGF-b_24:CCL2/MCP-1,HEK/HDFn_IL-1b/TNF-a/IFN-g/TGF-b_24:CD54/ICAM-1,HEK/HDFn_IL-1b/TNF-a/IFN-g/TGF-b_24:CXCL10/IP-10,HEK/HDFn_IL-1b/TNF-a/IFN-g/TGF-b_24:IL-1alpha,HEK/HDFn_IL-1b/TNF-a/IFN-g/TGF-b_24:MMP-9,HEK/HDFn_IL-1b/TNF-a/IFN-g/TGF-b_24:SRB,HEK/HDFn_IL-1b/TNF-a/IFN-g/TGF-b_24:TIMP-2,HEK/HDFn_IL-1b/TNF-a/IFN-g/TGF-b_24:uPA,HUVEC/PBMC_LPS_24:CCL2/MCP-1,HUVEC/PBMC_LPS_24:CD106/VCAM-1,HUVEC/PBMC_LPS_24:CD142/Tissue Factor,HUVEC/PBMC_LPS_24:CD40,HUVEC/PBMC_LPS_24:CD62E/E-Selectin,HUVEC/PBMC_LPS_24:CXCL8/IL-8,HUVEC/PBMC_LPS_24:IL-1alpha,HUVEC/PBMC_LPS_24:M-CSF,HUVEC/PBMC_LPS_24:sPGE2,HUVEC/PBMC_LPS_24:SRB,HUVEC/PBMC_LPS_24:sTNF-alpha,HUVEC/PBMC_SEB/TSST_24:CCL2/MCP-1,HUVEC/PBMC_SEB/TSST_24:CD38,HUVEC/PBMC_SEB/TSST_24:CD40,HUVEC/PBMC_SEB/TSST_24:CD62E/E-Selectin,HUVEC/PBMC_SEB/TSST_24:CD69,HUVEC/PBMC_SEB/TSST_24:CXCL8/IL-8,HUVEC/PBMC_SEB/TSST_24:CXCL9/MIG,HUVEC/PBMC_SEB/TSST_24:PBMC Cytotoxicity,HUVEC/PBMC_SEB/TSST_24:Proliferation,HUVEC/PBMC_SEB/TSST_24:SRB,HUVEC_IL-1b/TNF-a/IFN-g_24:CCL2/MCP-1,HUVEC_IL-1b/TNF-a/IFN-g_24:CD106/VCAM-1,HUVEC_IL-1b/TNF-a/IFN-g_24:CD141/Thrombomodulin,HUVEC_IL-1b/TNF-a/IFN-g_24:CD142/Tissue Factor,HUVEC_IL-1b/TNF-a/IFN-g_24:CD54/ICAM-1,HUVEC_IL-1b/TNF-a/IFN-g_24:CD62E/E-Selectin,HUVEC_IL-1b/TNF-a/IFN-g_24:CD87/uPAR,HUVEC_IL-1b/TNF-a/IFN-g_24:CXCL8/IL-8,HUVEC_IL-1b/TNF-a/IFN-g_24:CXCL9/MIG,HUVEC_IL-1b/TNF-a/IFN-g_24:HLA-DR,HUVEC_IL-1b/TNF-a/IFN-g_24:Proliferation,HUVEC_IL-1b/TNF-a/IFN-g_24:SRB,HUVEC_IL-4/Histamine_24:CCL2/MCP-1,HUVEC_IL-4/Histamine_24:CCL26/Eotaxin-3,HUVEC_IL-4/Histamine_24:CD106/VCAM-1,HUVEC_IL-4/Histamine_24:CD62P/P-selectin,HUVEC_IL-4/Histamine_24:CD87/uPAR,HUVEC_IL-4/Histamine_24:SRB,HUVEC_IL-4/Histamine_24:VEGFR2,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:CCL2/MCP-1,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:CD106/VCAM-1,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:CD141/Thrombomodulin,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:CD142/Tissue Factor,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:CD87/uPAR,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:CXCL8/IL-8,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:CXCL9/MIG,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:HLA-DR,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:IL-6,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:LDLR,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:M-CSF,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:Proliferation,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:Serum Amyloid A,CASMC_HCL_IL-1b/TNF-a/IFN-g_24:SRB
"Trusted, Agents, Scriptaid, BSK-C016173, 1111.1 nM",HDAC inhibitor,-0.193971484,0.030950756,-0.000218752,0.024124091,0.004867171,-0.110650231,-0.020946432,-0.000212342,0.295148333,-0.1708029,-0.118459721,-0.056585691,-0.185883371,-0.03302804,-0.2075314,-0.05431592,0.036518467,-0.072752996,-0.140964901,-0.409498541,-0.097956567,-0.09814305,-0.092368357,-0.004094267,0.01938167,0.01584334,-0.05267309,-0.00389305,-0.055896486,-0.100800829,-0.120307824,-0.115877209,-0.08559209,-0.135448799,-0.09332852,-0.042523369,-0.200130799,-0.2514601,-0.072587717,-0.035183149,-0.828034916,-0.02088416,-0.3323719,-0.08932908,0.1518797,0.036612357,0.035736509,0.017645423,-0.04827691,-0.6474668,-0.03632551,-0.045750272,-0.049223177,0.125701967,-0.154547519,0.06025529,0.201412283,-0.315679488,-0.014277873,0.003666799,-0.243930648,-0.3423673,-0.09731338,-0.091276594,-0.1914466,-0.164299226,-0.1815964,-0.19849004,-0.046077177,0.04107431,-0.074467016,-0.190004852,0.030785436,0.278458203,-0.07615395,-0.012614447,-0.388879956,-0.459342943,-0.1140906,0.003175102,-0.139646469,-0.143414945,0.18800055,0.01759931
"Trusted, Agents, Scriptaid, BSK-C016173, 370.4 nM",HDAC inhibitor,-0.076611582,0.034876553,-0.000263037,-0.043693438,0.000339487,-0.027887096,0.01445813,-0.000808345,0.183085359,-0.08919989,-0.133474515,-0.165536845,-0.122668328,0.003348196,-0.03006274,-0.1363534,0.034071541,-0.001215963,-0.04783113,-0.214047208,-0.027018325,-0.0232685,-0.020482341,0.02029453,0.01391483,0.04143597,-0.009538061,-0.005868782,-0.054988869,-0.047902346,-0.028699361,-0.053770572,-0.02770142,-0.038766894,-0.031290045,-0.000108341,-0.080809392,-0.1217825,-0.03385617,-0.003580019,-0.647513695,0.046309482,-0.1465805,-0.003252501,0.1998333,-0.001711459,0.124582552,-0.001801055,-0.03230408,-0.2676726,0.01067325,0.023688209,-0.000806162,0.067108954,0.032913356,0.04772334,0.17506831,-0.063465931,0.031112014,0.04076976,-0.029753411,-0.1284604,-0.02284132,0.030668212,-0.006177778,0.003595959,-0.0415313,0.008475766,-0.013019589,0.02774145,-0.036014741,-0.118212399,-0.006982261,0.149940375,-0.06339464,-0.000249478,-0.060456388,-0.220328478,-0.05011448,-0.01168464,-0.064935981,-0.085769471,-0.008243868,0.000790185
"Trusted, Agents, Trichostatin A, BSK-C016173, 1111.1 nM",HDAC inhibitor,,,,,,,,,,,-0.052507365,-0.111955076,-0.573362934,-0.1316906,-0.7245948,-0.06901486,-0.114996719,-0.226938779,-0.226372083,-0.997869574,-0.207342699,-0.006763206,-0.139121037,0.02915284,0.003123681,-0.1704052,-0.3420313,-0.06610399,-0.092953994,-0.411266721,-0.639790764,-0.51916594,-0.1198881,-0.140072803,-0.421055499,-0.345070734,-0.252590799,-0.4037198,-0.272242079,-0.112050109,-0.83381761,-0.644796918,-0.4525849,-0.2719464,-0.3509419,-0.149114172,-0.326792121,-0.585214891,-0.07395078,-0.9642347,-0.09785092,-0.703342756,-0.442592252,0.117391188,-0.304121682,0.07786421,-0.198748835,-0.340765939,-0.374221842,-0.5933923,-0.749248805,-0.6407004,-0.1508584,-0.349737515,-0.7339976,-0.775016024,-0.2365781,-0.242671098,-0.099193256,-0.03042764,,,,,,,,,,,,,,
"Trusted, Agents, Trichostatin A, BSK-C016173, 3333.3 nM",HDAC inhibitor,,,,,,,,,,,-0.030636168,-0.184705078,-0.62876715,-0.1431365,-0.7919777,-0.1236801,-0.190923905,-0.278149553,-0.230487204,-1.061934505,-0.244044328,0.04092878,-0.167991534,0.07998519,-0.08367858,-0.3156858,-0.3614437,-0.1501212,-0.1743567,-0.429171572,-0.707093953,-0.50872235,-0.08585523,-0.103437635,-0.390782387,-0.389162954,-0.276484641,-0.3857291,-0.282468743,-0.093716654,-0.843492366,-0.693571969,-0.4558473,-0.3271135,-0.3741544,-0.190299069,-0.30473117,-0.656696226,-0.07018765,-1.026375,-0.08575347,-0.795844433,-0.525492585,0.137902136,-0.236633022,0.09249404,-0.235122999,-0.384648909,-0.434532349,-0.5021046,-0.776118036,-0.7011022,-0.14976,-0.337657558,-0.7812019,-0.782440808,-0.1624961,-0.256689966,-0.09060572,-0.05916537,,,,,,,,,,,,,,
"Trusted, Agents, Trichostatin A, BSK-C016173, 370.4 nM",HDAC inhibitor,-0.093243567,0.005962241,0.005284728,-0.008409133,-0.007849218,-0.039351067,0.000786387,0.006095101,0.191431456,-0.1711837,-0.157357394,-0.095548294,-0.31674378,-0.01144721,-0.1583313,-0.0927873,0.037176766,-0.087123324,-0.01038343,-0.284165265,-0.083951286,-0.08472595,-0.202184382,0.0024462,-0.00294655,0.01129279,-0.05893118,0.003425598,-0.046440236,-0.094732906,-0.20182483,-0.213600634,-0.1016638,-0.17193191,-0.245508787,-0.037529625,-0.150381626,-0.3582459,0.069770795,-0.054260223,-0.84477033,-0.078283146,-0.318838,-0.2015435,-0.1345478,-0.085548366,0.021305508,-0.09872495,-0.06633746,-0.9328854,-0.04719207,-0.164162847,-0.368493418,0.211863045,-0.347368717,0.05871961,-0.221033042,-0.354174389,-0.067061534,-0.4430259,-0.581271242,-0.5491783,-0.09561972,-0.087084496,-0.567444,-0.403405127,-0.3499307,-0.213305664,-0.058861618,-0.03104693,-0.143912194,-0.260049231,0.12620202,0.344439565,-0.3163881,-0.133380154,-0.848138333,-0.357331853,-0.2380273,-0.03963288,-0.149295074,-0.322773206,0.805552691,-0.02938296
"Trusted, Agents, Vorinostat, BSK-C016173, 10000 nM",HDAC inhibitor,,,,,,,,,,,-0.114,-0.088,-0.413,-0.173,-0.862,-0.024,0.004,-0.147,-0.09,-1.047,-0.121,-0.286,,,-0.122,-0.341,-0.476,-0.199,-0.124,-0.492,-0.491,-0.421666667,-0.3846667,-0.227,-0.302666667,-0.252333333,-0.133,-0.3956667,-0.248666667,-0.100666667,-0.996666667,-0.505,-0.4523333,-0.2333333,-0.3496667,-0.17,-0.235333333,-0.182333333,,-0.8366667,-0.1116667,-0.508666667,-0.259666667,0.091333333,-0.482333333,0.024,-0.140333333,-0.788666667,-0.306333333,-0.123,-0.901333333,-0.2683333,-0.1516667,-0.316666667,-0.826,-0.630666667,-0.3063333,-0.436666667,-0.089666667,0.02366667,,,,,,,,,,,,,,
"Trusted, Agents, Vorinostat, BSK-C016173, 1111.1 nM",HDAC inhibitor,-0.086023551,0.057814371,0.004491708,-0.022251851,0.002294479,-0.061743494,0.080697913,0.004354659,0.221506555,-0.05553075,-0.012643796,-0.056679248,-0.056889481,-0.01173779,-0.09032554,0.00539883,0.094822018,-0.031818396,-0.045407827,-0.323100481,-0.037651935,-0.073278,-0.07469632,-0.007619814,0.001288111,0.02845876,-0.0156109,0.002229899,0.017092616,-0.114440585,-0.042573528,-0.031310391,-0.1420996,-0.020592813,0.021701876,0.001376504,-0.024951632,-0.1176199,0.005846862,-0.039203433,-0.738232125,0.004581618,-0.1898597,-0.05968954,0.17433,0.060004064,0.08676943,0.000757948,-0.06846836,-0.3913236,-0.0417256,-0.03060146,0.005912503,0.102684804,-0.152790269,0.03017175,0.064596178,-0.308672239,-0.007782205,0.00029667,-0.225277604,-0.06416879,-0.09152916,0.009949396,-0.2424911,-0.046039147,-0.07900651,-0.121461239,-0.042688488,0.08066845,-0.001946809,-0.072495051,-0.015017356,0.244227953,-0.064039,-0.005057298,-0.15406281,-0.260715978,-0.05501931,-0.001241482,-0.03531117,-0.040609665,0.041887764,0.01239353
"Trusted, Agents, Vorinostat, BSK-C016173, 3333.3 nM",HDAC inhibitor,-0.212859613,0.03815329,0.003954345,-0.069326332,-0.03278117,-0.119359841,0.064283545,0.002801135,0.196874838,-0.1852551,-0.09251822,-0.036261172,-0.283586632,-0.08193495,-0.418258,0.02736383,0.085547886,-0.129193207,-0.135714258,-0.58624109,-0.101180785,-0.1327757,-0.076017404,0.001846852,-0.005037785,-0.02581395,-0.1372665,-0.00420881,-0.003525039,-0.191249308,-0.216800934,-0.187846052,-0.3190097,-0.161875697,-0.073762954,-0.132059945,-0.172738505,-0.2771269,-0.133254643,-0.105694392,-0.886060484,-0.157890711,-0.3306576,-0.1823722,0.07511853,0.037343467,-0.069827752,-0.053218564,-0.07891538,-0.8463042,-0.1056412,-0.184254908,-0.086263384,0.141179286,-0.348928313,0.02779606,0.004794244,-0.603877372,-0.173828624,-0.02522308,-0.527445315,-0.2005332,-0.1664739,-0.202684931,-0.6219958,-0.451916184,-0.2170988,-0.336331788,-0.072999246,0.101698,-0.050447682,-0.219074424,0.013289911,0.312121009,-0.1716959,-0.038117788,-0.397890625,-0.456347963,-0.1038972,-0.02671192,-0.09663309,-0.149024787,0.14992429,-0.01287564
"Trusted, Agents, Atorvastatin, BSK-C016173, 1111.1 nM",HMG-CoA reductase inhibitor,-0.059723338,0.02091862,0.005281168,0.004274576,-0.004057346,0.006358725,0.019047299,-0.01080853,-0.099353743,-0.03514093,0.042672147,0.011435641,0.023353762,-0.002752239,0.007829156,0.001888399,0.005024926,-0.011951064,0.009887342,-0.406903997,-0.000486527,0.05505271,-0.024162121,0.01261345,-0.02447626,0.02651726,0.01857382,-0.01307541,0.029254426,0.027044833,0.003379555,0.012361625,0.05696577,0.001305397,0.078530629,0.0249854,-0.112986241,0.04443108,0.022727072,-0.09354047,0.030199672,0.021056896,0.0236958,-0.09935397,0.1784965,-0.146938193,0.159263964,-0.010786439,-0.05534973,-0.1724067,-0.1521323,-0.022635774,-0.004915866,0.003909975,-0.027619196,0.005079909,0.026773458,-0.118609342,-0.048778175,0.000925758,0.047857351,-0.102313,-0.1469393,-0.118179933,0.07294407,-0.018979867,0.07659915,-0.005847044,-0.036497661,0.03285757,0.025612123,0.034720896,0.279885171,-0.069047141,0.03453376,0.025710291,0.046741671,-0.0629353,0.0594787,-0.01272765,-0.026426837,-0.360068655,-0.043783595,-0.05829152
"Trusted, Agents, Atorvastatin, BSK-C016173, 3333.3 nM",HMG-CoA reductase inhibitor,-0.077467416,-0.012662888,0.000601584,0.015091794,-0.01709584,0.039372827,-0.000709028,-0.006340015,-0.11668217,-0.02736935,0.048603432,0.043575495,0.012248435,-0.01060389,0.01923972,0.01425435,-0.024602573,0.001895719,-0.025527557,-0.515766354,-0.033956245,0.07050209,0.040408936,0.02438876,-0.01366148,0.05128971,0.04657494,-0.008866264,0.060214996,0.019477609,0.036386481,-0.003099486,0.06542721,-0.00410288,0.092899803,0.044901264,-0.184081503,0.08772666,0.047916107,-0.194862717,0.065732564,0.023515105,0.03198836,-0.106792,0.1516607,-0.178767535,0.118634372,-0.006382139,-0.07663912,-0.5968203,-0.2572348,-0.042309721,-0.021465052,0.021002387,-0.04843444,0.003759353,0.018207145,-0.215942979,-0.058473452,-0.001561919,0.031454556,-0.3822365,-0.2421046,-0.15487083,0.07416834,-0.050446393,0.08007736,-0.032078061,-0.088130669,0.06689447,0.024988288,0.046583193,0.275844391,-0.062361827,0.03072232,0.010098573,0.049136935,-0.081594745,0.07893216,-0.02152076,0.009286835,-0.56020874,-0.014080541,-0.05741878
"Trusted, Agents, Atorvastatin, BSK-C016173, 370.4 nM",HMG-CoA reductase inhibitor,-0.03686619,0.023051955,0.003070607,0.015820145,0.003180281,0.019293053,0.022244019,-0.003001166,-0.095294276,-0.0120885,0.047440829,0.025623817,0.025055702,0.005647567,0.006404475,0.000374531,0.009505059,0.0152872,-0.006126147,-0.358145264,0.001291523,0.02369742,-0.018365065,0.007142448,0.003383208,0.0298547,0.01323864,-0.00871064,0.022341433,0.031513923,0.019550845,0.01741587,0.07407654,0.026722477,0.049364151,0.01788112,-0.06022339,0.03968366,0.021231827,-0.038423649,0.04946821,0.052662697,0.04152031,-0.0222077,0.1531563,-0.085285388,0.160763079,0.006154925,-0.04525542,-0.000222221,-0.1162183,0.005003541,-0.004185437,0.010673005,-0.005567915,0.007273157,0.027198228,-0.075508238,-0.022847939,0.01078085,0.057578438,-0.002556355,-0.07843872,-0.047505757,0.06333887,0.004362431,0.0671436,0.00563071,-0.007483677,0.02995875,0.0290829,0.039334404,0.240440028,-0.084670897,0.01891387,0.022890581,0.039649979,-0.045226309,0.06092812,-0.02639256,-0.037768055,-0.1345599,-0.047297806,-0.04997929
"Trusted, Agents, Cerivastatin, BSK-C016173, 1111.1 nM",HMG-CoA reductase inhibitor,-0.103666922,-0.017760832,0.01929499,-0.009963442,-0.02164821,-0.053179753,-0.026859796,-0.00393416,-0.086748291,-0.0709616,0.044116339,-0.127169639,-0.006428308,-0.0563249,0.03396508,-0.1181823,-0.11957337,-0.061470706,-0.208500362,-1.074190737,-0.169978487,-0.007780785,-0.00668336,-0.002516584,0.000125143,0.02930268,0.04098726,-0.000654535,0.049182032,-0.034152833,0.017,0.023,0.07480619,-0.088,0.119666667,0.04,-0.193,0.081,0.047428722,-0.183285631,0.051062771,0.022666667,-0.014,-0.1353333,0.19,-0.202333333,0.110333333,0.018333333,-0.05770235,-0.6737637,-0.1993333,-0.059666667,0.008666667,0.052125014,0.004273573,0.02366667,0.080333333,-0.261723671,-0.024333333,0.03233333,0.039666667,-0.7358452,-0.2193333,-0.494666667,0.02966667,-0.038333333,0.05266667,-0.115666667,-0.133,0.008666667,0.006041256,-0.003225071,0.217577218,-0.061508344,-0.0971186,0.038974398,0.075585927,-0.108042634,0.02409161,-0.01317993,-0.064653272,-0.720754028,-0.089639191,-0.0616233
"Trusted, Agents, Cerivastatin, BSK-C016173, 123.5 nM",HMG-CoA reductase inhibitor,-0.090734833,-0.033024301,-0.005238567,-0.000959884,-0.001169866,-0.056517074,-0.088560827,0.000807941,-0.10422955,-0.08833135,0.042798042,0.036519315,-0.024047445,-0.008227579,-0.01157864,-0.05676308,-0.06822255,-0.002261682,-0.066192028,-0.528660493,-0.006754226,0.04838477,-0.053051619,0.02300106,-0.01114842,0.05764834,0.04681662,-0.01225069,0.061892011,0.018314133,0.067955999,0.024860146,0.06616715,-0.113697253,0.12741102,0.067988247,-0.184388735,0.0946152,0.049616846,-0.165096233,0.097232318,0.050009548,0.000275763,-0.1770685,0.228643,-0.186006703,0.145230599,-0.004977207,-0.02918031,-0.5363168,-0.2187567,-0.077077504,0.008663279,0.021124396,-0.035762135,0.02145874,0.050401832,-0.20971439,-0.011454144,0.02235258,0.014902444,-0.4790788,-0.2069654,-0.249286206,0.04829503,-0.0189038,0.1066665,-0.094346826,-0.091034457,0.04117723,-0.0100038,0.011875191,0.243590429,-0.000332995,-0.0685023,0.046133495,0.068943774,-0.14371007,0.1345545,0.04407384,-0.020879078,-0.551637582,-0.07307577,-0.05142436
"Trusted, Agents, Cerivastatin, BSK-C016173, 3333.3 nM",HMG-CoA reductase inhibitor,-0.088085181,-0.024836886,0.002035187,-0.043628243,-0.0290158,-0.012090257,-0.040328518,0.001220737,-0.130082654,-0.01758376,0.047504249,-0.101272097,-0.013303118,-0.07693284,0.04450167,-0.1013569,-0.164085434,-0.055021523,-0.191828654,-1.114424919,-0.189131307,-0.02215574,-0.018670552,0.004068144,-0.01592408,0.05258877,0.05048253,0.000397733,0.04997812,-0.051643373,0.0095,0.021,0.03692937,-0.066,0.1195,0.0525,-0.1725,0.078,0.031167509,-0.169029039,-0.053120181,0.0275,-0.0215,-0.116,0.1715,-0.19,0.108,0.019,-0.06642921,-0.6561304,-0.1895,-0.0445,0.016,0.055276899,-0.002500456,0.0295,0.0765,-0.29131928,-0.025,0.0175,0.037,-0.7344458,-0.1815,-0.5325,0.026,-0.026,0.0675,-0.0965,-0.125,-0.001,0.022793456,-0.012794613,0.212149614,-0.044169869,-0.1311697,0.042869137,0.075193001,-0.081117233,0.07392152,-0.01959378,-0.07526458,-0.699325824,-0.046762809,-0.05351198
"Trusted, Agents, Cerivastatin, BSK-C016173, 370.4 nM",HMG-CoA reductase inhibitor,-0.118721256,-0.022087283,-0.004186506,-0.023083151,-0.006846098,-0.057833308,-0.091875971,-0.002636804,-0.136105583,-0.1796223,0.038790792,-0.004803651,-0.028518119,-0.03515305,0.01498364,-0.06310762,-0.072382156,-0.02793643,-0.141002801,-0.710592264,-0.029885436,0.005257223,0.002196555,0.01318921,-0.02463223,0.08205218,0.07418013,-0.0209347,0.020886589,-0.060782409,0.029031499,0.015407599,0.07904302,-0.083084683,0.112000315,0.05780015,-0.190886331,0.08340887,0.060134298,-0.192890967,0.074664473,0.042730099,-0.005374263,-0.1555655,0.2015262,-0.16233959,0.120728696,0.004170561,-0.04248327,-0.643214,-0.2049392,-0.069068275,0.004244138,0.042204217,-0.002093033,0.01771449,0.066546463,-0.247684441,-0.021622907,0.01714675,0.022318519,-0.6959851,-0.2261376,-0.380082769,0.0305297,-0.02489605,0.05439864,-0.112450201,-0.129896338,0.02018398,0.02074686,0.017065305,0.250992938,0.00072064,-0.05096782,0.045681222,0.064707775,-0.138937659,0.1085666,0.02444231,-0.017490444,-0.618020813,-0.074680431,-0.05256482
"Trusted, Agents, Cerivastatin, BSK-C016173, 41.2 nM",HMG-CoA reductase inhibitor,-0.083885971,-0.037914734,-0.009095376,0.025563173,0.01882909,-0.041529272,-0.013210804,0.001093297,-0.094491457,-0.1032103,0.042427448,0.056358179,0.03120293,-0.000933824,-0.005077443,-0.002983821,-0.007282332,0.002651097,0.029432431,-0.411928602,0.064682186,0.1207862,-0.054039102,0.03514173,0.000743985,0.08085215,0.03164046,-0.01506245,0.044345727,0.053007952,0.057503499,0.015666554,0.1311144,-0.109103342,0.139225065,0.061262162,-0.14883992,0.08124057,0.063418673,-0.124970332,0.057704748,0.061262754,0.013007,-0.1885585,0.2455954,-0.16115182,0.157488951,0.001614584,-0.04643731,-0.2064058,-0.2086315,-0.054510242,0.03091671,0.045444472,-0.023621515,0.03197939,0.095138197,-0.128096972,0.0031276,0.00472746,0.01903835,-0.2242932,-0.170599,-0.209526591,0.05738394,-0.002298468,0.1011851,-0.036749374,-0.071512011,0.07700958,0.027114463,0.040086738,0.307177834,-0.013231872,0.02051005,0.060388736,0.056263504,-0.106035559,0.2034321,0.04681424,0.000933637,-0.13857022,-0.048955494,-0.04049635
"Trusted, Agents, Fluvastatin, BSK-C016173, 10000 nM",HMG-CoA reductase inhibitor,0.030271933,-0.026831426,0.02730609,0.068410954,0.02334993,0.123677452,-0.053342083,-0.000125621,-0.085888289,-0.03229801,0.043102396,0.043159498,-0.065431378,0.008927621,0.01924603,0.02976831,-0.068581823,0.010539059,-0.079362383,-0.554771198,-0.09321725,0.04696516,-0.08923712,0.006500163,-0.01101367,0.01008277,0.06010762,-0.004846494,-0.000513584,-0.028617301,0.019908169,0.00972716,0.1174615,-0.084635031,0.108505648,0.055277976,-0.113864598,0.06087859,0.068560572,-0.158583034,0.078585885,0.027916615,-0.01785607,-0.1965424,0.190633,-0.12890589,0.18459087,0.002207457,-0.04564011,-0.5043067,-0.1861217,-0.050382757,-0.003647104,0.065850447,0.068132811,0.04366518,0.008192188,-0.224129151,-0.021043778,-0.01768434,-0.055327049,-0.5126121,-0.2251217,-0.380149938,0.0525294,-0.010310742,0.09646488,-0.086603912,-0.112585303,-0.01286245,0.044219313,0.059671406,0.305381201,-0.068524558,0.003456474,0.050073222,0.077063294,-0.007999414,0.2322989,0.02905093,-0.029980764,-0.640613118,0.017536246,-0.04518085
"Trusted, Agents, Fluvastatin, BSK-C016173, 1111.1 nM",HMG-CoA reductase inhibitor,0.030382998,-0.002358063,0.0183623,0.004340803,-0.01562196,0.046639432,-0.019539826,0.000157092,-0.10480773,-0.02563445,0.031992284,-0.017804538,-0.031545818,-0.000972864,-0.000137216,0.00772241,-0.039435206,-0.030922944,-0.006086465,-0.461888999,0.006193054,0.005484735,-0.081603422,0.01694132,-0.007853833,-0.01318094,0.02592805,-0.006066615,-0.001423441,-0.001729653,0.011549336,0.019831915,0.1178756,0.012515788,0.09645651,0.03857727,-0.045142523,0.0770217,0.015778691,-0.05407178,0.115014656,0.069287208,0.01308917,-0.1061436,0.2146768,-0.067937278,0.189018632,-0.000605018,-0.01315303,-0.04213682,-0.1173992,-0.014900826,0.026627484,0.044500838,0.061262526,0.04222177,0.081222073,-0.087991713,-0.000302558,-0.005690123,0.027729674,-0.2010673,-0.1188112,-0.21468228,0.0484426,0.012703428,0.1359629,-0.019007712,-0.03927455,0.02721911,0.027579606,0.026766049,0.227791363,-0.060491742,0.0017805,0.033737284,0.052326614,-0.026864409,0.1556553,0.002995266,-0.073399221,-0.281802025,-0.034174925,-0.02911356
"Trusted, Agents, Fluvastatin, BSK-C016173, 3333.3 nM",HMG-CoA reductase inhibitor,0.021577976,0.005231424,0.0271919,0.019818161,-0.003037591,0.073910802,-0.015794234,0.00088768,-0.07672644,-0.01690103,0.050832931,0.02540904,-0.037728125,0.002776938,-0.000665907,0.009732451,-0.04698306,0.018554292,-0.01512241,-0.513486558,-0.053215418,0.0189006,-0.107285206,0.00054951,-0.004181675,-0.00545066,0.05415868,-0.004410236,-0.000398785,-0.031273933,0.012909169,0.013193981,0.1221837,-0.023655877,0.105157561,0.043430502,-0.112597211,0.06663543,0.047322918,-0.115377648,0.073247047,0.048148862,0.006199768,-0.1534723,0.2031833,-0.118889368,0.165384513,-0.008305349,-0.03445015,-0.1690981,-0.1576792,-0.037521007,0.001125127,0.054629672,0.038129684,0.04105424,0.03033804,-0.153081984,-0.018454376,0.00160495,-0.013657874,-0.3763441,-0.175615,-0.349181528,0.04549303,-0.006584065,0.1247174,-0.073816235,-0.077201115,0.008357792,0.052742356,0.052275605,0.26332255,-0.095078038,0.007096343,0.042465393,0.061848342,-0.000989851,0.2027157,0.02290954,-0.057417412,-0.47588598,0.004172338,-0.03781146
